Title,Authors,Year,Tags,Abstract,URL,Zotero Key
"An eight-year analysis of child labor trafficking cases in the United States: Exploring characteristics, and patterns of child labor trafficking","Nthabiseng Claudia Letsie, Bandak Lul, Dominique Roe-Sepowitz",,"Public Policy, Social Work",,https://www.sciencedirect.com/science/article/pii/S0145213421003380,H46RR4TS
Psychological aspects of the crime of human trafficking for the purpose of sexual exploitation: A systematic review,"Nubia Hernández Flórez, Yildret Rodríguez Ávila, Alvaro Enrique Lhoeste Charris, José Darío Argüello Rueda, Victoria González Martelo, María José Orozco Santander, Isneila Martinez Gomez & Natalia Monterroza Badran",,Social Work,,https://latam.redilat.org/index.php/lt/article/view/561,4WI9PBJS
Impact of the COVID-19 pandemic on the health of survivors of trafficking for sexual exploitation: a qualitative study in Spain,"Olaya García-Vázquez, Carmen Meneses-Falcón",,"Healthcare, Mental Health, Social Work",,https://www.emerald.com/insight/content/doi/10.1108/IJMHSC-03-2023-0026/full/html,NCCTT65B
Marital rape: A tale of two legal systems,Oyebanke Yebisi and Victoria Balogun,,Public Policy,,https://journals.co.za/content/journal/10520/EJC-d1feceba9,VHM6M79U
The Intersection of Child Trafficking and Health Care: Our Unique Role as Pediatric Clinicians,"Nicole M. Leopardi, Aldina M. Hovde, Lauren V. Kullmann",,Social Work,,https://www.pediatric.theclinics.com/article/S0031-3955(19)30181-6/fulltext,3DKZPP78
Better together? The peril and promise of aggregate litigation for trafficked workers,Nikko Price,,"Lived Experience, Public Policy",,https://www.yalelawjournal.org/note/better-together,D6NKVT9W
Survivor’s Perceptions of Human Trafficking Rehabilitation Programs in Nigeria: Empowerment or Disempowerment?,Nnenna Okoli & Uwafiokun Idemudia,,Mental Health,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1777382,CZ7DJHTG
Patriarchal State Projects and the Exploitation of Women: A Case Study of Japan’s Sex Industry (1870s-1950s),Noëlie Frix,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2023.2205815,Z5XF27HQ
Assessing healthcare provider knowledge of human trafficking,"Nicole E. McAmis, Angela C. Mirabella, Elizabeth M. McCarthy, Cara A. Cama, Miklos C. Fogarasi, Listy A. Thomas, Richard S. Feinn, Ivelisse Rivera-Godreau",,"Healthcare, Mental Health",,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0264338,IH66H6TB
The processes to begin consuming sexual services by women involved in commercial sex in Mexico City,Nicole Gallego,,"Lived Experience, Mental Health, Social Work",,http://bvirtual.ucol.mx/consultaxcategoria.php?categoria=1&id=8831,I8TUTTES
Moving to Restoration: The Experiences of Women Exiting Sex Trafficking,"Nicole Gonzalez, Chelsea Spencer & Sandra Stith",,Lived Experience,,https://www.tandfonline.com/doi/full/10.1080/23322705.2017.1413856,CEXWNJX5
Mental health recovery for survivors of modern slavery: grounded theory study protocol,"Nicola Wright, Emina Hadziosmanovic, Minh Dang, Kevin Bales, Caroline Brookes, Melanie Jordan, Mike Slade",,"Mental Health, Social Work",,https://bmjopen.bmj.com/content/10/11/e038583,AGS5DGIV
Interventions to support the mental health of survivors of modern slavery and human trafficking: A systematic review,"Nicola Wright, Melanie Jordan, Runa Lazzarino",,"Public Policy, Social Work",,https://journals.sagepub.com/doi/10.1177/00207640211039245,UZJQ2B9Z
‘I’m All About My Child’: Supporting Modern Slavery Survivors as Parents,"Nerida Chazal, Kyla Raby & Elena Spasovska",,"Lived Experience, Mental Health, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2023.2279875,NRM6BZNF
Human Trafficking in Southeast Asia: Results from a Household Survey in Vietnam,"Ngan Dinh, Conor Hughes, James Hughes & Margaret Maurer-Fazio",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2019.1650527,833E6QZU
Forced labor and health-related outcomes. The case of beggar children,Nick Drydakis,,"Mental Health, Social Work",,https://www.sciencedirect.com/science/article/abs/pii/S0145213423004787,IIDMH457
"Because if we talk about health issues first, it is easier to talk about human trafficking; findings from a mixed methods study on health needs and service provision among migrant and trafficked fishermen in the Mekong","Nicola S. Pocock, Tadee Reena, Kanokwan Tharawan, Wansiri Rongrongmuang, Brett Dickson, Soksreymom Suos, Ligia Kiss, Cathy Zimmerman",,"Lived Experience, Social Work",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5941587/,2QMRCWV7
Recognizing Suspected Human Trafficking in the Pediatric Intensive Care Unit,"Natasha Jouk, Ivana Capin, Jordan Greenbaum & Dana Kaplan",,"Law Enforcement, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1862614,INVD2GSF
ICD-10-CM codes infrequently used to document human trafficking in 2019 Nationwide Emergency Department Sample,"Nathaniel Dell, Erica Koegler, Katherine Holzer, Michael Vaughn, Cindy Bitter, Rumi Kato Price",,"Public Policy, Social Work",,https://www.sciencedirect.com/science/article/abs/pii/S0735675722007148,ZGG3MSEZ
Global Human Trafficking Unmasked: A Feminist Rights-Based Approach,Navid Pourmokhtari,,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2014.1000078,M49PBUCN
Health Care Providers’ Perceptions of Human Trafficking on the U.S. Frontier: Contextualizing Future Steps,Neely Mahapatra & Kirsten Havig,,Public Policy,,tandfonline.com/doi/abs/10.1080/23322705.2023.2167910,6V5HHNB6
Not Yet Dead: The Establishment and Regulation of Slavery by the Islamic State,"Nadia Al-Dayel, Andrew Mumford & Kevin Bales",,Needs Review,,https://www.tandfonline.com/doi/full/10.1080/1057610X.2020.1711590,FDSE598P
Asylum Policies and Forced Labour among Asylum Seekers and Refugees: The Results of a Two-Phase Systematic Review,Natalia Szulc & Adam Szymaniak,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2023.2258690,M6VDFDP9
Constructing Vulnerability: The Effect of State Migration Policy and Policing on the Commercial Sexual Exploitation of Children,Natalie Delia Deckard,,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1782656,K34ND272
"Captivity, Migration, and Power in Libya","Nadia Al-Dayel, Aaron Anfinson & Graeme Anfinson",,"Migration and Global Issues, Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2021.1908032,J6AAAMPB
#Stillnotfound: Missing Children in South Africa,Monique Emser & Marcel van der Watt,,"Lived Experience, Social Work",,https://www.researchgate.net/publication/339092591_Stillnotfound_Missing_Children_in_South_Africa,BGP39EIP
The Butterfly Longitudinal Study of Sex Trafficking in Cambodia,Multiple authors,,"Lived Experience, Public Policy, Social Work",,https://digitalcommons.uri.edu/dignity/,BH3FVQAI
"Child labor and victimization: An Empirical Study at Tongi, Gazipur",Mohammad Ashraful Alam and Iqbal Hossain,,"Lived Experience, Social Work",,https://www.academia.edu/7570305/Child_labour_and_victimization,9HC9EP75
"Victimization and Violation of Rights of Women in Garments Sector in Bangladesh: A Study on Women Garments Workers of Ashulia, Savar, Dhaka","Mohammad Ashraful Alam, Subrata Banarjee, Sumona Sharmin, Mansura Akter",,"Lived Experience, Social Work",,https://www.researchgate.net/profile/Aurongajeb-Akond/publication/333506986_Victimization_of_Female_Migrant_Workers_in_Countries_of_Destination_A_Review/links/5cf0c7dfa6fdcc8475f8c5fb/Victimization-of-Female-Migrant-Workers-in-Countries-of-Destination-A-Review.pdf#page=54,FM6XX9GD
A youth advisory group on health and health research in rural Cambodia,"Mom Ean, Rupam Tripura, Phann Sothea, Uch Savoeun, Thomas Peto, Sam Bunthynn, James Callery, Ung Soviet, Lek Dysoley, Phaik Yeong Cheah & Bipin Adhikari",,Healthcare,,https://www.tandfonline.com/doi/full/10.1080/11287462.2024.2361968,7NUS6FKD
Exploring relationships as mediators of treatment outcomes among commercially sexually exploited youth,"Monica Landers, Melissa H. Johnson, Mary I. Armstrong, Kimberly McGrath, Norín Dollard",,"Lived Experience, Social Work",,https://www.sciencedirect.com/science/article/pii/S0145213419302728,ZW8IAS4H
Project MIRACLE: Increasing empathy among case managers working with traumatized refugees through brief training in motivational interviewing.,Miriam Potocky and Kristen L Guskovict,,Social Work,,https://irct.org/assets/uploads/Vol%2026%20No%203%20Enhancing%20Therapy%20by%20Mirian%20Potocky.pdf,F9J2ZHT6
"Global Agendas – Local Realities: Commercial Sexual Exploitation of Children in Chinandega, Nicaragua—“A Break from Their Ordinary Life…”",Mirna Carranza,,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2019.1594550,UHRDWKFD
Human Trafficking Victim’s Service Needs and Outcomes: An Analysis of Clinical Law Data,"Michelle Munro-Kramer, Dana Beck, Kristen Choi, Rebecca Singer, Annemarie Gebhard & Bridgette Carr",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2019.1574476,7GQAU8RK
Understanding Commercially Sexually Exploited Youths' Facilitators and Barriers toward Contraceptive Use: I Didn't Really Have a Choice,"Mikaela A. Kelly, Eraka P. Bath, Sarah M. Godoy, Laura S. Abrams, Elizabeth S. Barnert",,"Lived Experience, Social Work",,https://www.sciencedirect.com/science/article/abs/pii/S1083318818303632,4RWXHPTP
The Structure and Practice of Residential Facilities Treating Sex Trafficking Victims,Mikala Ide & Darin M. Mather,,"Mental Health, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2018.1447204,ZVNT26QI
Women and Children as Victims and Offenders: The Case of De-Notified Tribes in India,"Milind Bokil, Vijay Raghavan",,"Lived Experience, Social Work",,https://link.springer.com/chapter/10.1007/978-3-319-08398-8_27,VBVJ6AK2
"Cet ignoble trafic:' The Kidnapping and Sale of Vietnamese Women and Children in French Colonial Indochina, 1873-1935",Micheline Lessard,,"Law Enforcement, Public Policy, Social Work",,https://www.jstor.org/stable/41935190?seq=1,D5KIPUAH
Both/and' not 'either/or': Reconciling rights to protection and participation in working with child sexual exploitation,"Michelle Lefevra, Kristine Hickle, Barry Luckock",,"Mental Health, Social Work",,https://academic.oup.com/bjsw/article-abstract/49/7/1837/5253796,JQANQDMT
What Counts as Trafficking for Sexual Exploitation? How Legal Methods Can Improve Empirical Research,Michelle Madden Dempsey,,Mental Health,,https://www.tandfonline.com/doi/full/10.1080/23322705.2017.1280325,59IXMFDQ
Understanding Health Facility Needs for Human Trafficking Response in Michigan,"Michelle Munro-Kramer, Dana Beck, Katherine Martin, Bridgette Carr",,"Public Policy, Social Work",,https://journals.sagepub.com/doi/10.1177/00333549211048785,CX2U5GRI
Community Health Centers and Sentinel Surveillance of Human Trafficking in the United States,"Michael Gallo, Hannah Thinyane, James Teufel",,"Public Policy, Social Work",,https://journals.sagepub.com/doi/10.1177/00333549211041603,CVIP44UC
Minor and Adult Domestic Sex Trafficking Risk Factors in Ohio,Michael L Chohaney,,"Law Enforcement, Public Policy, Social Work",,https://www.journals.uchicago.edu/doi/full/10.1086/685108?mobileUi=0,XBHHT9KG
Human rights violatoins against sex workers: Burden and effect on HIV,"Michele R Decker, Anna-Louise Crago, Sandra Ka Hon Chu, Susan G Sherman, Meena Saraswathi Seshu, Kohli Buthelez, Mandeep Dhaliwal, and Chris Beyrer",,"Mental Health, Public Policy, Social Work",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4454473/pdf/nihms-655814.pdf,A9JSR9QP
The prostitution and trafficking of American Indian/Alaska Native women in Minnesota,"Melissa Farley, Sarah Deer, Jacqueline M Golding, Nicole Matthews, Guadalupe Lopez, Christine Stark, Eileen Hudon",,"Lived Experience, Public Policy, Social Work",,https://pubmed.ncbi.nlm.nih.gov/28562843/,EPMERCAT
Modeling Disruptions to Sex Trafficking Networks with Other Forced Illegal Activities,"Michael Clark, Thomas Sharkey, Tonique Ayler, Teresa Forliti, Joy Friedman, Mikki Mariotti, Christine Nelson & Lauren Martin",,Public Policy,,https://www.tandfonline.com/doi/full/10.1080/23322705.2023.2277103,UEGTNR94
An Epidemiological Perspective on Labor Trafficking,"Michael Gallo, Renata A. Konrad & Hannah Thinyane",,Social Work,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1815474,XUU55ZRZ
"Two Steps Forward, One Step Back: The Legal Response to Sex Trafficking","Melanie Worsley, Brenda Rowe & Kate Houston",,Needs Review,,https://www.tandfonline.com/doi/full/10.1080/23322705.2023.2289822,IMJ4KAFS
Addressing Racism in the Domestic Minor Sex Trafficking of Black Girls: The Role of Public Health Critical Race Praxis,"Mekeila C. Cook, PhuongThao D. Le, Jennifer J. García",,"Mental Health, Social Work",,https://journals.sagepub.com/doi/10.1177/00333549211058735,QR8K83RA
The Role of Nursing in the School Setting to Lead Efforts to Impact Child Trafficking: An Integrative Review,Megan L. Doiron & Jessica L. Peck,,"Public Policy, Social Work",,https://journals.sagepub.com/doi/abs/10.1177/1059840520987533,TVAPFWNB
Sex Trafficking as a News Story: Evolving Structure and Reporting Strategies,"Meghan Sobel, Barbara Friedman & Anne Johnston",,Social Work,,https://www.tandfonline.com/doi/full/10.1080/23322705.2017.1401426,QM85QDQW
Questioning the Notion of Financial Gain as the Primary Motivation of Human Traffickers,Matthew Clarke,,Mental Health,,https://www.antitraffickingreview.org/index.php/atrjournal/article/view/620,5QET8XFC
Conspiracy Theories of Human Trafficking: Knowledge and Perceptions Among a Diverse College Population,"Maureen C. Kenny, Claire Helpingstine & Tracy Borelus",,"Mental Health, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2023.2225367,PP4KPQ89
"The Journey through Sex Trafficking, Motherhood, and Building Resilience: A Qualitative Study among Women Living in Kamathipura Red-light Area","Megan España, Sharvari Karandikar, Rebecca J. McCloskey & Rebecca Reno",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.1885238,XH4W292S
Measurements of Vulnerability to Domestic Minor Sex Trafficking: A Systematic Review,Mary McCoy,,"Mental Health, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2017.1385334,PD5D9G54
Intersectional Standpoint Methodology: Toward Theory-Driven Participatory Research on Human Trafficking,Mary Twis and Kathleen Preble,,Social Work,,https://connect.springerpub.com/content/sgrvv/35/3/418,BV9Q9G8U
Are Screening Tools for Identifying Human Trafficking Victims in Health Care Settings Validated? A Scoping Review,"Mathilde Hainaut, Katherine Thompson, Caryn Ha, Hayley Herzog, Timothy Roberts, Veronica Ades",,"Public Policy, Social Work",,https://journals.sagepub.com/doi/full/10.1177/00333549211061774,Q5VSTDX7
Perpetrator-Centric Strategies for Addressing Modern Slavery,Matthew Clarke,,Public Policy,,https://academic.oup.com/jhrp/advance-article/doi/10.1093/jhuman/huab036/6532730?guestAccessKey=8e60eb1b-b6c1-432f-8afb-85cef67d65d1,JH84CF33
Predicting Different Types of Victim-Trafficker Relationships: A Multinomial Logistic Regression Analysis,Mary K. Twis,,Needs Review,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2019.1634963,PJU7P7KT
Psychosocial Correlates of Mental Health Work With Human Trafficking Survivors: Risk and Resilience,Marli Corbett-Hone & Nicole L. Johnson,,"Mental Health, Social Work",,https://psycnet.apa.org/fulltext/2022-27815-001.html,TTT5AX7E
Risk Factor Patterns in Domestic Minor Sex Trafficking Relationships,Mary K. Twis,,"Mental Health, Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2019.1627775,TA3VN24G
Exploring resilience through case studies of art therapy with sex trafficking survivors and their advocates,Mary Kometiani & Kathryn Farmer,,"Lived Experience, Social Work",,https://www.sciencedirect.com/science/article/abs/pii/S0197455618301060,569XDMK3
